BodyText_Section0
[('[0x00004759]',), 68, 5, '0x8', 8]
[('[0x0000474F]',), 67, 5, '0x6', 6]
[('[0x00004733]',), 66, 4, '0x18', 24]
[('[0x00004700]',), 72, 4, '0x2f', 47]
[('[0x000046D8]',), 69, 5, '0x24', 36]
[('[0x000046CC]',), 68, 5, '0x8', 8]
[('[0x000046C2]',), 67, 5, '0x6', 6]
[('[0x000046A6]',), 66, 4, '0x18', 24]
[('[0x00004673]',), 72, 4, '0x2f', 47]
[('[0x0000464B]',), 69, 5, '0x24', 36]
[('[0x0000463F]',), 68, 5, '0x8', 8]
[('[0x00004625]',), 67, 5, '0x16', 22]
[('[0x00004609]',), 66, 4, '0x18', 24]
[('[0x000045D6]',), 72, 4, '0x2f', 47]
[('[0x000045AE]',), 69, 5, '0x24', 36]
[('[0x000045A2]',), 68, 5, '0x8', 8]
[('[0x00004592]',), 67, 5, '0xc', 12]
[('[0x00004576]',), 66, 4, '0x18', 24]
[('[0x00004543]',), 72, 4, '0x2f', 47]
[('[0x0000451B]',), 69, 5, '0x24', 36]
[('[0x0000450F]',), 68, 5, '0x8', 8]
[('[0x000044EF]',), 67, 5, '0x1c', 28]
[('[0x000044D3]',), 66, 4, '0x18', 24]
[('[0x000044A0]',), 72, 4, '0x2f', 47]
[('[0x00004478]',), 69, 5, '0x24', 36]
[('[0x0000446C]',), 68, 5, '0x8', 8]
[('[0x00004462]',), 67, 5, '0x6', 6]
[('[0x00004446]',), 66, 4, '0x18', 24]
[('[0x00004413]',), 72, 4, '0x2f', 47]
[('[0x000043EB]',), 69, 5, '0x24', 36]
[('[0x000043DF]',), 68, 5, '0x8', 8]
[('[0x000043D5]',), 67, 5, '0x6', 6]
[('[0x000043B9]',), 66, 4, '0x18', 24]
[('[0x00004386]',), 72, 4, '0x2f', 47]
[('[0x0000435E]',), 69, 5, '0x24', 36]
[('[0x00004352]',), 68, 5, '0x8', 8]
[('[0x00004346]',), 67, 5, '0x8', 8]
[('[0x0000432A]',), 66, 4, '0x18', 24]
[('[0x000042F7]',), 72, 4, '0x2f', 47]
[('[0x000042CF]',), 69, 5, '0x24', 36]
[('[0x000042C3]',), 68, 5, '0x8', 8]
[('[0x000042A9]',), 67, 5, '0x16', 22]
[('[0x0000428D]',), 66, 4, '0x18', 24]
[('[0x0000425A]',), 72, 4, '0x2f', 47]
[('[0x00004232]',), 69, 5, '0x24', 36]
[('[0x00004226]',), 68, 5, '0x8', 8]
[('[0x00004216]',), 67, 5, '0xc', 12]
[('[0x000041FA]',), 66, 4, '0x18', 24]
