BodyText_Section0
[('[0x0000ED2E]',), 66, 0, '0x18', 24]
[('[0x0000ED06]',), 69, 1, '0x24', 36]
[('[0x0000ECFA]',), 68, 1, '0x8', 8]
[('[0x0000ECBE]',), 67, 1, '0x38', 56]
[('[0x0000ECA2]',), 66, 0, '0x18', 24]
[('[0x0000EC7A]',), 69, 1, '0x24', 36]
[('[0x0000EC6E]',), 68, 1, '0x8', 8]
[('[0x0000EC24]',), 67, 1, '0x46', 70]
[('[0x0000EC08]',), 66, 0, '0x18', 24]
[('[0x0000EBE0]',), 69, 1, '0x24', 36]
[('[0x0000EBD4]',), 68, 1, '0x8', 8]
[('[0x0000EB82]',), 67, 1, '0x4e', 78]
[('[0x0000EB66]',), 66, 0, '0x18', 24]
[('[0x0000EB3E]',), 69, 1, '0x24', 36]
[('[0x0000EB32]',), 68, 1, '0x8', 8]
[('[0x0000EAE2]',), 67, 1, '0x4c', 76]
[('[0x0000EAC6]',), 66, 0, '0x18', 24]
[('[0x0000EA9E]',), 69, 1, '0x24', 36]
[('[0x0000EA92]',), 68, 1, '0x8', 8]
[('[0x0000EA46]',), 67, 1, '0x48', 72]
[('[0x0000EA2A]',), 66, 0, '0x18', 24]
[('[0x0000EA02]',), 69, 1, '0x24', 36]
[('[0x0000E9F6]',), 68, 1, '0x8', 8]
[('[0x0000E9AE]',), 67, 1, '0x44', 68]
[('[0x0000E992]',), 66, 0, '0x18', 24]
[('[0x0000E96A]',), 69, 1, '0x24', 36]
[('[0x0000E95E]',), 68, 1, '0x8', 8]
[('[0x0000E916]',), 67, 1, '0x44', 68]
[('[0x0000E8FA]',), 66, 0, '0x18', 24]
[('[0x0000E8D2]',), 69, 1, '0x24', 36]
[('[0x0000E8C6]',), 68, 1, '0x8', 8]
[('[0x0000E87E]',), 67, 1, '0x44', 68]
[('[0x0000E862]',), 66, 0, '0x18', 24]
[('[0x0000E83A]',), 69, 1, '0x24', 36]
[('[0x0000E82E]',), 68, 1, '0x8', 8]
[('[0x0000E7EA]',), 67, 1, '0x40', 64]
[('[0x0000E7CE]',), 66, 0, '0x18', 24]
[('[0x0000E7A6]',), 69, 1, '0x24', 36]
[('[0x0000E79A]',), 68, 1, '0x8', 8]
[('[0x0000E752]',), 67, 1, '0x44', 68]
[('[0x0000E736]',), 66, 0, '0x18', 24]
[('[0x0000E70E]',), 69, 1, '0x24', 36]
[('[0x0000E702]',), 68, 1, '0x8', 8]
[('[0x0000E6BE]',), 67, 1, '0x40', 64]
[('[0x0000E6A2]',), 66, 0, '0x18', 24]
[('[0x0000E67A]',), 69, 1, '0x24', 36]
[('[0x0000E66E]',), 68, 1, '0x8', 8]
[('[0x0000E610]',), 67, 1, '0x5a', 90]
[('[0x0000E5F4]',), 66, 0, '0x18', 24]
[('[0x0000E5CC]',), 69, 1, '0x24', 36]
[('[0x0000E5C0]',), 68, 1, '0x8', 8]
[('[0x0000E574]',), 67, 1, '0x48', 72]
[('[0x0000E558]',), 66, 0, '0x18', 24]
[('[0x0000E530]',), 69, 1, '0x24', 36]
[('[0x0000E524]',), 68, 1, '0x8', 8]
[('[0x0000E4CA]',), 67, 1, '0x56', 86]
[('[0x0000E4AE]',), 66, 0, '0x18', 24]
[('[0x0000E486]',), 69, 1, '0x24', 36]
[('[0x0000E47A]',), 68, 1, '0x8', 8]
[('[0x0000E42E]',), 67, 1, '0x48', 72]
[('[0x0000E412]',), 66, 0, '0x18', 24]
[('[0x0000E3EA]',), 69, 1, '0x24', 36]
[('[0x0000E3DE]',), 68, 1, '0x8', 8]
[('[0x0000E396]',), 67, 1, '0x44', 68]
[('[0x0000E37A]',), 66, 0, '0x18', 24]
[('[0x0000E352]',), 69, 1, '0x24', 36]
[('[0x0000E346]',), 68, 1, '0x8', 8]
[('[0x0000E2FC]',), 67, 1, '0x46', 70]
[('[0x0000E2E0]',), 66, 0, '0x18', 24]
[('[0x0000E2B8]',), 69, 1, '0x24', 36]
[('[0x0000E2AC]',), 68, 1, '0x8', 8]
[('[0x0000E268]',), 67, 1, '0x40', 64]
[('[0x0000E24C]',), 66, 0, '0x18', 24]
[('[0x0000E224]',), 69, 1, '0x24', 36]
[('[0x0000E218]',), 68, 1, '0x8', 8]
[('[0x0000E1C8]',), 67, 1, '0x4c', 76]
[('[0x0000E1AC]',), 66, 0, '0x18', 24]
[('[0x0000E184]',), 69, 1, '0x24', 36]
[('[0x0000E178]',), 68, 1, '0x8', 8]
[('[0x0000E136]',), 67, 1, '0x3e', 62]
[('[0x0000E11A]',), 66, 0, '0x18', 24]
[('[0x0000E0F2]',), 69, 1, '0x24', 36]
[('[0x0000E0E6]',), 68, 1, '0x8', 8]
[('[0x0000E0A4]',), 67, 1, '0x3e', 62]
[('[0x0000E088]',), 66, 0, '0x18', 24]
[('[0x0000E060]',), 69, 1, '0x24', 36]
[('[0x0000E054]',), 68, 1, '0x8', 8]
[('[0x0000E012]',), 67, 1, '0x3e', 62]
[('[0x0000DFF6]',), 66, 0, '0x18', 24]
[('[0x0000DFCE]',), 69, 1, '0x24', 36]
[('[0x0000DFC2]',), 68, 1, '0x8', 8]
[('[0x0000DF64]',), 67, 1, '0x5a', 90]
[('[0x0000DF48]',), 66, 0, '0x18', 24]
[('[0x0000DF20]',), 69, 1, '0x24', 36]
[('[0x0000DF14]',), 68, 1, '0x8', 8]
[('[0x0000DEC2]',), 67, 1, '0x4e', 78]
[('[0x0000DEA6]',), 66, 0, '0x18', 24]
[('[0x0000DE7E]',), 69, 1, '0x24', 36]
[('[0x0000DE72]',), 68, 1, '0x8', 8]
[('[0x0000DE20]',), 67, 1, '0x4e', 78]
[('[0x0000DE04]',), 66, 0, '0x18', 24]
[('[0x0000DDDC]',), 69, 1, '0x24', 36]
[('[0x0000DDD0]',), 68, 1, '0x8', 8]
[('[0x0000DD76]',), 67, 1, '0x56', 86]
[('[0x0000DD5A]',), 66, 0, '0x18', 24]
[('[0x0000DD32]',), 69, 1, '0x24', 36]
[('[0x0000DD26]',), 68, 1, '0x8', 8]
[('[0x0000DCDE]',), 67, 1, '0x44', 68]
[('[0x0000DCC2]',), 66, 0, '0x18', 24]
[('[0x0000DC9A]',), 69, 1, '0x24', 36]
[('[0x0000DC8E]',), 68, 1, '0x8', 8]
[('[0x0000DC3A]',), 67, 1, '0x50', 80]
[('[0x0000DC1E]',), 66, 0, '0x18', 24]
[('[0x0000DBF6]',), 69, 1, '0x24', 36]
[('[0x0000DBEA]',), 68, 1, '0x8', 8]
[('[0x0000DB96]',), 67, 1, '0x50', 80]
[('[0x0000DB7A]',), 66, 0, '0x18', 24]
[('[0x0000DB52]',), 69, 1, '0x24', 36]
[('[0x0000DB46]',), 68, 1, '0x8', 8]
[('[0x0000DAF6]',), 67, 1, '0x4c', 76]
[('[0x0000DADA]',), 66, 0, '0x18', 24]
[('[0x0000DAB2]',), 69, 1, '0x24', 36]
[('[0x0000DAA6]',), 68, 1, '0x8', 8]
[('[0x0000DA64]',), 67, 1, '0x3e', 62]
[('[0x0000DA48]',), 66, 0, '0x18', 24]
[('[0x0000DA20]',), 69, 1, '0x24', 36]
[('[0x0000DA14]',), 68, 1, '0x8', 8]
[('[0x0000D9D2]',), 67, 1, '0x3e', 62]
[('[0x0000D9B6]',), 66, 0, '0x18', 24]
[('[0x0000D98E]',), 69, 1, '0x24', 36]
[('[0x0000D982]',), 68, 1, '0x8', 8]
[('[0x0000D940]',), 67, 1, '0x3e', 62]
[('[0x0000D924]',), 66, 0, '0x18', 24]
[('[0x0000D8FC]',), 69, 1, '0x24', 36]
[('[0x0000D8F0]',), 68, 1, '0x8', 8]
[('[0x0000D8AC]',), 67, 1, '0x40', 64]
[('[0x0000D890]',), 66, 0, '0x18', 24]
[('[0x0000D868]',), 69, 1, '0x24', 36]
[('[0x0000D85C]',), 68, 1, '0x8', 8]
[('[0x0000D816]',), 67, 1, '0x42', 66]
