BodyText_Section0
[('[0x000659E8]',), 66, 4, '0x18', 24]
[('[0x000659B5]',), 72, 4, '0x2f', 47]
[('[0x0006598D]',), 69, 5, '0x24', 36]
[('[0x00065981]',), 68, 5, '0x8', 8]
[('[0x00065969]',), 67, 5, '0x14', 20]
[('[0x0006594D]',), 66, 4, '0x18', 24]
[('[0x0006591A]',), 72, 4, '0x2f', 47]
[('[0x000658F2]',), 69, 5, '0x24', 36]
[('[0x000658E6]',), 68, 5, '0x8', 8]
[('[0x000658CC]',), 67, 5, '0x16', 22]
[('[0x000658B0]',), 66, 4, '0x18', 24]
[('[0x0006587D]',), 72, 4, '0x2f', 47]
[('[0x00065855]',), 69, 5, '0x24', 36]
[('[0x00065849]',), 68, 5, '0x8', 8]
[('[0x0006582F]',), 67, 5, '0x16', 22]
[('[0x00065813]',), 66, 4, '0x18', 24]
[('[0x000657E0]',), 72, 4, '0x2f', 47]
[('[0x000657B8]',), 69, 5, '0x24', 36]
[('[0x000657AC]',), 68, 5, '0x8', 8]
[('[0x0006578A]',), 67, 5, '0x1e', 30]
[('[0x0006576E]',), 66, 4, '0x18', 24]
[('[0x0006573B]',), 72, 4, '0x2f', 47]
[('[0x00065713]',), 69, 5, '0x24', 36]
[('[0x00065707]',), 68, 5, '0x8', 8]
[('[0x000656F1]',), 67, 5, '0x12', 18]
[('[0x000656D5]',), 66, 4, '0x18', 24]
[('[0x000656A2]',), 72, 4, '0x2f', 47]
[('[0x0006567A]',), 69, 5, '0x24', 36]
[('[0x0006566E]',), 68, 5, '0x8', 8]
[('[0x0006565A]',), 67, 5, '0x10', 16]
[('[0x0006563E]',), 66, 4, '0x18', 24]
[('[0x0006560B]',), 72, 4, '0x2f', 47]
[('[0x000655E3]',), 69, 5, '0x24', 36]
[('[0x000655D7]',), 68, 5, '0x8', 8]
[('[0x000655B9]',), 67, 5, '0x1a', 26]
[('[0x0006559D]',), 66, 4, '0x18', 24]
[('[0x0006556A]',), 72, 4, '0x2f', 47]
[('[0x00065542]',), 69, 5, '0x24', 36]
[('[0x00065536]',), 68, 5, '0x8', 8]
[('[0x00065522]',), 67, 5, '0x10', 16]
[('[0x00065506]',), 66, 4, '0x18', 24]
[('[0x000654D3]',), 72, 4, '0x2f', 47]
[('[0x000654AB]',), 69, 5, '0x24', 36]
[('[0x0006549F]',), 68, 5, '0x8', 8]
[('[0x0006548D]',), 67, 5, '0xe', 14]
[('[0x00065471]',), 66, 4, '0x18', 24]
[('[0x0006543E]',), 72, 4, '0x2f', 47]
[('[0x00065416]',), 69, 5, '0x24', 36]
[('[0x0006540A]',), 68, 5, '0x8', 8]
[('[0x000653FA]',), 67, 5, '0xc', 12]
[('[0x000653DE]',), 66, 4, '0x18', 24]
[('[0x000653AB]',), 72, 4, '0x2f', 47]
[('[0x00065383]',), 69, 5, '0x24', 36]
[('[0x00065377]',), 68, 5, '0x8', 8]
[('[0x0006535F]',), 67, 5, '0x14', 20]
[('[0x00065343]',), 66, 4, '0x18', 24]
[('[0x00065310]',), 72, 4, '0x2f', 47]
[('[0x000652E8]',), 69, 5, '0x24', 36]
[('[0x000652DC]',), 68, 5, '0x8', 8]
[('[0x000652C6]',), 67, 5, '0x12', 18]
[('[0x000652AA]',), 66, 4, '0x18', 24]
[('[0x00065277]',), 72, 4, '0x2f', 47]
[('[0x0006524F]',), 69, 5, '0x24', 36]
[('[0x00065243]',), 68, 5, '0x8', 8]
[('[0x0006522F]',), 67, 5, '0x10', 16]
[('[0x00065213]',), 66, 4, '0x18', 24]
[('[0x000651E0]',), 72, 4, '0x2f', 47]
[('[0x000651B8]',), 69, 5, '0x24', 36]
[('[0x000651AC]',), 68, 5, '0x8', 8]
[('[0x00065194]',), 67, 5, '0x14', 20]
[('[0x00065178]',), 66, 4, '0x18', 24]
[('[0x00065145]',), 72, 4, '0x2f', 47]
[('[0x0006511D]',), 69, 5, '0x24', 36]
[('[0x00065111]',), 68, 5, '0x8', 8]
[('[0x000650FB]',), 67, 5, '0x12', 18]
[('[0x000650DF]',), 66, 4, '0x18', 24]
[('[0x000650AC]',), 72, 4, '0x2f', 47]
[('[0x00065084]',), 69, 5, '0x24', 36]
[('[0x00065078]',), 68, 5, '0x8', 8]
[('[0x00065062]',), 67, 5, '0x12', 18]
[('[0x00065046]',), 66, 4, '0x18', 24]
[('[0x00065013]',), 72, 4, '0x2f', 47]
[('[0x00064FEB]',), 69, 5, '0x24', 36]
[('[0x00064FDF]',), 68, 5, '0x8', 8]
[('[0x00064FC9]',), 67, 5, '0x12', 18]
[('[0x00064FAD]',), 66, 4, '0x18', 24]
[('[0x00064F7A]',), 72, 4, '0x2f', 47]
[('[0x00064F52]',), 69, 5, '0x24', 36]
[('[0x00064F46]',), 68, 5, '0x8', 8]
[('[0x00064F2C]',), 67, 5, '0x16', 22]
[('[0x00064F10]',), 66, 4, '0x18', 24]
[('[0x00064EDD]',), 72, 4, '0x2f', 47]
[('[0x00064EB5]',), 69, 5, '0x24', 36]
[('[0x00064EA9]',), 68, 5, '0x8', 8]
[('[0x00064E93]',), 67, 5, '0x12', 18]
[('[0x00064E77]',), 66, 4, '0x18', 24]
[('[0x00064E44]',), 72, 4, '0x2f', 47]
[('[0x00064E1C]',), 69, 5, '0x24', 36]
[('[0x00064E10]',), 68, 5, '0x8', 8]
[('[0x00064DFC]',), 67, 5, '0x10', 16]
[('[0x00064DE0]',), 66, 4, '0x18', 24]
[('[0x00064DAD]',), 72, 4, '0x2f', 47]
[('[0x00064D85]',), 69, 5, '0x24', 36]
[('[0x00064D79]',), 68, 5, '0x8', 8]
[('[0x00064D5F]',), 67, 5, '0x16', 22]
[('[0x00064D43]',), 66, 4, '0x18', 24]
[('[0x00064D10]',), 72, 4, '0x2f', 47]
[('[0x00064CE8]',), 69, 5, '0x24', 36]
[('[0x00064CDC]',), 68, 5, '0x8', 8]
[('[0x00064CC2]',), 67, 5, '0x16', 22]
[('[0x00064CA6]',), 66, 4, '0x18', 24]
[('[0x00064C73]',), 72, 4, '0x2f', 47]
[('[0x00064C4B]',), 69, 5, '0x24', 36]
[('[0x00064C3F]',), 68, 5, '0x8', 8]
[('[0x00064C29]',), 67, 5, '0x12', 18]
[('[0x00064C0D]',), 66, 4, '0x18', 24]
[('[0x00064BDA]',), 72, 4, '0x2f', 47]
[('[0x00064BB2]',), 69, 5, '0x24', 36]
[('[0x00064BA6]',), 68, 5, '0x8', 8]
[('[0x00064B92]',), 67, 5, '0x10', 16]
[('[0x00064B76]',), 66, 4, '0x18', 24]
[('[0x00064B43]',), 72, 4, '0x2f', 47]
[('[0x00064B1B]',), 69, 5, '0x24', 36]
[('[0x00064B0F]',), 68, 5, '0x8', 8]
[('[0x00064B03]',), 67, 5, '0x8', 8]
[('[0x00064AE7]',), 66, 4, '0x18', 24]
[('[0x00064AB4]',), 72, 4, '0x2f', 47]
