file_name,/JS,/AA,/OpenAction,/AcroForm,/RichMedia,/Launch,/EmbeddedFile,/XFA,/URI,/F,/GoToE,/Extends,/Annot,/Length,/Filter,/FlateDecode,/XObject,/Encrypt,/CreationDate,/Author,subject,/ModDate,html,Script,powershell.exe,cmd.exe,sys,root,reg,exe,http,domain,filepath,ascii,xml,dll,unescape,%u9090%u9090,getIcon,temptmp,eval,%appdata%,chunk,base64,mkdir,replace,fromCharCode,getAnnots,ip,xref_size,trailer_size,file_size,nof_stream,class
file_0061,2,0,1,1,0,0,0,0,3,0,0,0,3,1,10,7,4,0,2,1,1,1,1,7,0,0,4,0,0,1,9,17,15,19,6,0,0,0,0,0,2,0,0,0,0,0,1,0,8,41,41,94.539,54,0
file_0062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,19,0,0,2,2,1,1,1,7,0,0,6,0,0,1,8,22,26,35,7,0,0,0,0,0,0,0,0,0,0,0,0,0,8,84,84,74.086,74,0
file_0063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,2,2,1,1,1,2,0,0,0,0,0,2,3,7,6,13,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,24,35,13.691,17,0
file_0064,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,2,0,2,2,1,0,1,0,0,0,0,0,0,1,0,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,21,21,84.236,5,0
file_0065,0,0,0,0,0,0,0,0,0,0,0,0,0,3,21,21,4,0,2,2,2,1,1,2,0,0,5,0,0,1,2,9,23,27,2,0,0,0,0,1,0,0,0,0,0,0,0,0,5,60,90,487.749,52,0
file_0066,2,0,1,0,0,0,1,0,0,1,0,0,0,0,3,3,0,0,2,1,1,2,1,2,0,0,0,0,0,1,0,1,4,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,14,14,58.899,10,0
file_0067,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8,8,0,0,2,2,2,1,1,3,0,0,0,2,0,3,2,8,10,13,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,187,365,19.577,27,0
file_0068,0,0,0,0,0,0,0,0,0,0,0,5,0,3,30,30,0,0,2,2,2,1,2,3,0,0,4,6,0,2,6,11,33,46,2,0,0,0,0,2,2,0,0,0,0,0,0,0,13,0,0,239.421,95,0
file_0069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,1,1,1,1,2,0,0,2,0,0,1,3,6,5,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,31,31,11.742,14,0
file_0070,0,0,1,0,0,0,0,0,0,0,0,0,0,3,25,25,0,0,2,2,5,1,1,3,0,0,2,0,0,8,3,9,27,356,2,0,0,0,0,0,3,0,0,0,0,0,0,0,12,1768,3511,358.687,79,0
